OSD-id	hits	public_release_date	public_release_date_year	technology_platform	technology_type	measurement_type	OrganismCount	Organism	Factors
OSD-161	3	16-Mar-18	2018	LTQ Orbitrap Velos (Thermo Scientific)	mass spectrometry	protein expression profiling	2	;Mus musculus	Spaceflight
OSD-161	3	16-Mar-18	2018	Illumina	nucleotide sequencing	DNA methylation profiling	2	;Mus musculus	Spaceflight
OSD-161	3	16-Mar-18	2018	Illumina HiSeq 4000	RNA Sequencing (RNA-Seq)	transcription profiling	2	;Mus musculus	Spaceflight
OSD-162	2	16-Mar-2018	2018	LTQ Orbitrap Velos (Thermo Scientific)	mass spectrometry	protein expression profiling	1	Mus musculus	Spaceflight
OSD-162	2	16-Mar-2018	2018	Illumina HiSeq 4000	RNA Sequencing (RNA-Seq)	transcription profiling	1	Mus musculus	Spaceflight
OSD-163	3	16-Mar-2018	2018	LTQ Orbitrap Velos (Thermo Scientific)	mass spectrometry	protein expression profiling	1	Mus musculus	Spaceflight
OSD-163	3	16-Mar-2018	2018	Illumina	nucleotide sequencing	DNA methylation profiling	1	Mus musculus	Spaceflight
OSD-163	3	16-Mar-2018	2018	Illumina HiSeq 4000	RNA Sequencing (RNA-Seq)	transcription profiling	1	Mus musculus	Spaceflight
OSD-164	1	19-Jan-2018	2018	MiSeq	RNA Sequencing (RNA-Seq)	transcription profiling	1	Mus musculus	Spaceflight;Tissue
OSD-165	1	01-Mar-2017	2017	Exiqon	DNA microarray	transcription profiling	1	Caenorhabditis elegans	weightlessness;absorbed radiation dose
OSD-166	1	01-Mar-2017	2017	Exiqon	DNA microarray	transcription profiling	1	Caenorhabditis elegans	weightlessness;absorbed radiation dose
OSD-167	1	01-Mar-2017	2017	Nimblegen	DNA microarray	transcription profiling	1	Caenorhabditis elegans	Spaceflight;Altered Gravity;Genotype
OSD-168	1	16-Mar-2020	2020	Illumina HiSeq 4000	RNA Sequencing (RNA-Seq)	transcription profiling	1	Mus musculus	Spaceflight;Spike-in Quality Control;Space Mission;Ionizing Radiation
OSD-170	1	14-Oct-2018	2018	Illumina MiSeq v2	nucleotide sequencing	metagenome profiling	1	cellular organisms	Altitude;Sample Location;Time
OSD-172	1	11-Aug-2017	2017	Affymetrix	microarray	transcription profiling	1	Homo sapiens	Microgravity;Hypergravity
OSD-173	1	04-May-2018	2018	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Mus musculus	Spaceflight
OSD-174	1	31-Mar-2016	2016	Agilent	DNA microarray	transcription profiling	1	Homo sapiens	sex;exposure duration;spaceflight
OSD-175	1	28-Dec-2008	2008	Agilent	DNA microarray	transcription profiling	1	Homo sapiens	Ionizing Radiation;Bystander Effect;Dose
OSD-176	1	21-Jul-2010	2010	Agilent	DNA microarray	transcription profiling	1	Homo sapiens	Ionizing Radiation;Bystander;dose
OSD-177	1	30-Mar-2018	2018	Illumina	nucleotide sequencing	genome sequencing	1	Fusarium oxysporum	Spaceflight
OSD-178	1	14-Jan-2011	2011	Agilent	DNA microarray	transcription profiling	1	Homo sapiens	Ionizing Radiation;Time;Absorbed Radiation Dose
OSD-182	1	04-Apr-2011	2011	Agilent	DNA microarray	transcription profiling	1	Homo sapiens	Ionizing Radiation;Mitochondrial Status;dose
OSD-183	1	7-Oct-2014	2014	Agilent	DNA microarray	transcription profiling	1	Mus musculus	Rad9 Status;Ionizing Radiation;Bystander;Dose
OSD-185	1	15-Feb-2019	2019	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Bacillus subtilis	Spaceflight
OSD-188	1	11-Aug-2017	2017	Affymetrix	microarray	transcription profiling	1	Homo sapiens	Altered Gravity
OSD-189	1	08-Mar-2018	2018	Affymetrix	microarray	transcription profiling	1	Homo sapiens	Microgravity;Hypergravity
OSD-190	1	2013-06-22	2013	non-commercial	DNA microarray	transcription profiling	1	Caenorhabditis elegans	Gravity, Altered
OSD-191	1	24-Mar-2017	2017	Illumina	nucleotide sequencing	metagenome profiling	1	Microbiota	Time
OSD-192	1	01-Nov-2017	2017	Ion Proton	RNA Sequencing (RNA-Seq)	transcription profiling	1	Helix lucorum	spaceflight;light cycle;food deprivation;water deprivation;animal housing
OSD-193	1	01-Mar-2018	2018	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Arabidopsis thaliana	Time;Genotype;Spaceflight
OSD-194	1	6-Jun-2018	2018	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Mus musculus	Spaceflight
OSD-195	1	17-Oct-2018	2018	Affymetrix	microarray	transcription profiling	1	Homo sapiens	Sampling Time;Bed Rest
OSD-198	1	04-May-2016	2016	Affymetrix	DNA microarray	transcription profiling	1	Homo sapiens	Sampling Time;Experimental Campaign;Bed Rest
OSD-199	1	25-Jul-2017	2017	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Lactobacillus acidophilus	Simulated microgravity
OSD-200	1	08-Aug-2019	2019	Illumina	nucleotide sequencing	metagenome profiling	3	Bacillus atrophaeus;cellular organisms;Escherichia coli	Spaceflight;Sample Location;Treatment;Sieve Size
OSD-201	1	21-Sep-2018	2018	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Mus musculus	Hindlimb unloading;tetanus toxoid;vaccine adjuvant
OSD-202	3	30-Nov-2018	2018	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Mus musculus	Ionizing Radiation;Hindlimb Unloading;Time of Sample Collection After Treatment
OSD-202	3	30-Nov-2018	2018	Illumina	microarray	transcription profiling	1	Mus musculus	Ionizing Radiation;Hindlimb Unloading;Time of Sample Collection After Treatment
OSD-202	3	30-Nov-2018	2018	Illumina	Bisulfite sequencing	DNA methylation profiling	1	Mus musculus	Ionizing Radiation;Hindlimb Unloading;Time of Sample Collection After Treatment
OSD-203	2	19-Sep-2018	2018	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Mus musculus	Ionizing Radiation;Hindlimb Unloading;Time of Sample Collection After Treatment
OSD-203	2	19-Sep-2018	2018	Illumina	Bisulfite sequencing	DNA methylation profiling	1	Mus musculus	Ionizing Radiation;Hindlimb Unloading;Time of Sample Collection After Treatment
OSD-205	1	01-Dec-2018	2018	Affymetrix	DNA microarray	transcription profiling	1	Arabidopsis thaliana	Spaceflight;Genotype
OSD-207	1	30-Nov-2018	2018		RNA Sequencing (RNA-Seq)	transcription profiling	1	Drosophila melanogaster	Spaceflight;Genotype
OSD-208	2	29-Oct-2018	2018	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Arabidopsis thaliana	Tissue
OSD-208	2	29-Oct-2018	2018	Affymetrix	DNA microarray	transcription profiling	1	Arabidopsis thaliana	Tissue
OSD-209	1	22-Aug-2017	2017	Exactive (Thermo Scientific)	mass spectrometry	protein expression profiling	1	Mus musculus	Spaceflight;Dissection Timeline;Absorbed Radiation Dose
OSD-210	1	20-Dec-2018	2018	Pacific Biosciences	nucleotide sequencing	genome sequencing	1	Arabidopsis thaliana	Cosmic Radiation;Genotype
OSD-211	1	25-Jun-2019	2019	Illumina NovaSeq 6000	RNA Sequencing (RNA-Seq)	transcription profiling	1	Mus musculus	Ionizing Radiation;Hindlimb Unloading
OSD-212	1	29-Mar-2019	2019	Illumina	nucleotide sequencing	genome sequencing	1	Mus musculus	Spaceflight
OSD-213	1	29-Jun-2015	2015	Affymetrix	DNA microarray	transcription profiling	1	Arabidopsis thaliana	Spaceflight;Altered Gravity
OSD-214	1	15-Feb-2019	2019	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Mus musculus	Hindlimb unloading;tetanus toxoid;vaccine adjuvant
OSD-215	1	04-Dec-2020	2020	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Bacillus subtilis	Microgravity Simulation
OSD-216	1	04-Dec-2020	2020	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Bacillus subtilis	Microgravity Simulation
OSD-217	2	20-Mar-2019	2019	Illumina	Bisulfite sequencing	DNA methylation profiling	1	Arabidopsis thaliana	Spaceflight;Organism Part
OSD-217	2	20-Mar-2019	2019	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Arabidopsis thaliana	Spaceflight;Organism Part
OSD-218	1	24-Feb-2018	2018	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Arabidopsis thaliana	Cultivar;Age;Spaceflight
OSD-219	1	24-Feb-2018	2018	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Arabidopsis thaliana	Cultivar;Age;Spaceflight
OSD-220	1	13-Jul-2018	2018	Illumina	Bisulfite sequencing	DNA methylation profiling	1	Arabidopsis thaliana	Spaceflight
OSD-222	1	29-Mar-2019	2019	Affymetrix	DNA microarray	transcription profiling	1	Mus musculus	Spaceflight;Cosmic Radiation
OSD-223	1	27-Jun-2019	2019	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Arabidopsis thaliana	Spaceflight;Genotype;Organism Part;Cosmic Radiation;Altered Gravity
OSD-224	1	17-Jan-2017	2017	Illumina	Whole-Genome Shotgun Sequencing	Metagenomic sequencing	1	Microbiota	Spaceflight;Treatment;Sample Location
OSD-225	1	20-Jan-2017	2017	Affymetrix	DNA microarray	transcription profiling	1	Rattus norvegicus	Hindlimb Unloading;Clinical Treatment
OSD-227	1	01-Dec-2008	2008	Agilent	DNA microarray	transcription profiling	1	Mus musculus	Hindlimb Unloading;Tissue
OSD-228	1	30-Sep-2004	2004		DNA microarray	transcription profiling	1	Mus musculus	Hindlimb Unloading
OSD-232	1	03-May-2019	2019	Affymetrix	microarray	transcription profiling	1	Mus musculus	Spaceflight;Tissue
OSD-233	1	17-Sep-2018	2018	Illumina	nucleotide sequencing	genome sequencing	1	Aspergillus nidulans	Spaceflight;Strain;Growth Time
OSD-235	1	10-Jun-2019	2019	Illumina NovaSeq 6000	RNA Sequencing (RNA-Seq)	transcription profiling	1	Mus musculus	Euthanasia Method;Tissue Preservation Method;Carcass Preservation Method;Dissection Condition;Tissue Homogenate Preservation Time at -80C in RLT Buffer
OSD-236	1	19-Jun-2019	2019	Illumina NovaSeq 6000	RNA Sequencing (RNA-Seq)	transcription profiling	1	Mus musculus	Euthanasia Method;Tissue Preservation Method;Carcass Preservation Method;Dissection Condition
OSD-237	1	25-Jun-2019	2019	Illumina NovaSeq 6000	RNA Sequencing (RNA-Seq)	transcription profiling	1	Mus musculus	Ionizing Radiation;Hindlimb Unloading
OSD-238	1	29-Jul-2019	2019	Illumina NovaSeq 6000	RNA Sequencing (RNA-Seq)	transcription profiling	1	Mus musculus	Spaceflight;Diet;Altered Gravity
OSD-239	1	29-Jul-2019	2019	Illumina NovaSeq 6000	RNA Sequencing (RNA-Seq)	transcription profiling	1	Mus musculus	Spaceflight;Diet;Altered Gravity
OSD-240	1	12-Aug-2019	2019	Illumina NovaSeq 6000	RNA Sequencing (RNA-Seq)	transcription profiling	1	Mus musculus	Spaceflight
OSD-241	1	12-Aug-2019	2019	Illumina NovaSeq 6000	RNA Sequencing (RNA-Seq)	transcription profiling	1	Mus musculus	Spaceflight
OSD-242	1	29-Jul-2019	2019	Illumina NovaSeq 6000	RNA Sequencing (RNA-Seq)	transcription profiling	1	Mus musculus	Spaceflight
OSD-243	1	26-Aug-2019	2019	Illumina NovaSeq 6000	RNA Sequencing (RNA-Seq)	transcription profiling	1	Mus musculus	Spaceflight;Duration;Dissection Condition;Euthanasia Location
OSD-244	1	26-Aug-2019	2019	Illumina NovaSeq 6000	RNA Sequencing (RNA-Seq)	transcription profiling	1	Mus musculus	Spaceflight;Duration;Dissection Condition;Euthanasia Location
OSD-245	1	06-Sep-2019	2019	 Illumina NovaSeq 6000	RNA Sequencing (RNA-Seq)	transcription profiling	1	Mus musculus	Spaceflight;Duration;Dissection Condition;Euthanasia Location
OSD-246	1	06-Sep-2019	2019	Illumina NovaSeq 6000	RNA Sequencing (RNA-Seq)	transcription profiling	1	Mus musculus	Spaceflight;Duration;Dissection Condition;Euthanasia Location;Ionizing Radiation
OSD-247	1	30-Aug-2019	2019	Illumina NovaSeq 6000	RNA Sequencing (RNA-Seq)	transcription profiling	1	Mus musculus	Spaceflight;Duration;Dissection Condition;Euthanasia Location
OSD-248	1	30-Aug-2019	2019	Illumina NovaSeq 6000	RNA Sequencing (RNA-Seq)	transcription profiling	1	Mus musculus	Spaceflight;Duration;Dissection Condition;Euthanasia Location
OSD-249	5	27-Sep-2019	2019	Illumina NovaSeq 6000	Whole-Genome Shotgun Sequencing	Metagenomic sequencing	1	Microbiota	Spaceflight;Duration;Dissection Condition;Euthanasia Location;Ionizing Radiation
OSD-249	5	27-Sep-2019	2019	Illumina NovaSeq 6000	Whole-Genome Shotgun Sequencing	Metagenomic sequencing	1	Microbiota	Spaceflight;Duration;Dissection Condition;Euthanasia Location;Ionizing Radiation
OSD-249	5	27-Sep-2019	2019	Illumina Hiseq4000	Whole-Genome Shotgun Sequencing	Metagenomic sequencing	1	Microbiota	Spaceflight;Duration;Dissection Condition;Euthanasia Location;Ionizing Radiation
OSD-249	5	27-Sep-2019	2019	Illumina iSeq	16S and ITS	Amplicon Sequencing	1	Microbiota	Spaceflight;Duration;Dissection Condition;Euthanasia Location;Ionizing Radiation
OSD-249	5	27-Sep-2019	2019	Illumina MiniSeq	16S	Amplicon Sequencing	1	Microbiota	Spaceflight;Duration;Dissection Condition;Euthanasia Location;Ionizing Radiation
OSD-250	1	27-Sep-2019	2019	Illumina NovaSeq 6000	Whole Genome Shotgun Sequencing	Metagenomic sequencing	1	Microbiota	Spaceflight
OSD-251	1	24-Oct-2019	2019	Illumina HiSeq2500	RNA Sequencing (RNA-Seq)	transcription profiling	1	Arabidopsis thaliana	Spaceflight;Altered Gravity
OSD-252	1	10-Sep-2021	2021	Illumina	nucleotide sequencing	metagenome profiling	1	cellular organisms	Spaceflight;Sample Location;Time;Treatment
OSD-253	1	08-Nov-2019	2019	Illumina NovaSeq 6000	RNA Sequencing (RNA-Seq)	transcription profiling	1	Mus musculus	Spaceflight;Strain;Duration
OSD-254	1	08-Nov-2019	2019	Illumina NovaSeq 6000	RNA Sequencing (RNA-Seq)	transcription profiling	1	Mus musculus	Spaceflight;Strain;Duration
OSD-255	1	31-May-2019	2019	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Mus musculus	Spaceflight
OSD-256	1	27-Jul-2020	2020	Illumina	nucleotide sequencing	metagenome profiling	1	cellular organisms	Altitude
OSD-258	1	07-Nov-2019	2019	Illumina HiSeq 2000	RNA Sequencing (RNA-Seq)	transcription profiling	1	Homo sapiens	Spaceflight;Time
OSD-259	1	21-May-2019	2019	Orbitrap Fusion Tribrid	mass spectrometry	protein expression profiling	1	Bacillus pumilus	Spaceflight;Treatment
OSD-260	1	21-Aug-2018	2018	Orbitrap Fusion Tribrid	mass spectrometry	protein expression profiling	1	Aspergillus niger	Spaceflight;Strain
OSD-261	1	01-Sep-2019	2019	Orbitrap Fusion	mass spectrometry	protein expression profiling	1	Aspergillus fumigatus	Spaceflight;Strain
OSD-262	1	06-Jun-2017	2017	Illumina	nucleotide sequencing	genome sequencing	1	Solibacillus kalamii	Spaceflight
OSD-263	1	20-Dec-2017	2017	Illumina	nucleotide sequencing	genome sequencing	4	Acinetobacter radioresistens;Aranicola proteolyticus;Bacillus horneckiae;Bacillus nealsonii	Sample Location
OSD-264	1	22-Feb-2019	2019	Illumina	nucleotide sequencing	genome sequencing	1	Fusarium oxysporum	Spaceflight
OSD-265	1	21-Jan-2020	2020	Illumina	nucleotide sequencing	genome sequencing	1	Chlamydomonas reinhardtii	Growth Cycle;Strain;Sample Storage;UV Mutagenesis;Organism Part
OSD-266	1	01-Dec-2019	2019	Affymetrix	DNA microarray	transcription profiling	1	Mus musculus	Ionizing Radiation;Dose
OSD-267	2	21-Feb-2020	2020	Illumina	ITS	Amplicon Sequencing	1	Microbiota	Spaceflight;Organism Part
OSD-267	2	21-Feb-2020	2020	Illumina	16S	Amplicon Sequencing	1	Microbiota	Spaceflight;Organism Part
OSD-268	2	21-Feb-2020	2020	Illumina MiSeq	nucleotide sequencing	metagenome profiling	1	Microbiota	Spaceflight;Organism Part
OSD-268	2	21-Feb-2020	2020	Illumina MiSeq	nucleotide sequencing	metagenome profiling	1	Microbiota	Spaceflight;Organism Part
OSD-269	1	21-Feb-2020	2020	Illumina	16S	Amplicon Sequencing	1	Microbiota	Spaceflight;Organism Part
OSD-270	2	18-Mar-2020	2020	Illumina	spatial transcriptomics	transcription profiling	1	Mus musculus	Spaceflight
OSD-270	2	18-Mar-2020	2020	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Mus musculus	Spaceflight
OSD-271	1	14-Feb-2018	2018	Agilent	DNA microarray	transcription profiling	1	Rattus norvegicus	Ionizing Radiation
OSD-272	1	31-Mar-2020	2020	Illumina NovaSeq 6000	RNA Sequencing (RNA-Seq)	transcription profiling	1	Mus musculus	Dissection Condition;Preservation Method;Order of Preservation
OSD-273	1	26-Jun-2020	2020	Illumina NovaSeq 6000	RNA Sequencing (RNA-Seq)	transcription profiling	1	Mus musculus	Dissection Condition;Preservation Method;Order of Preservation
OSD-274	1	26-Jun-2020	2020	Illumina NovaSeq 6000	RNA Sequencing (RNA-Seq)	transcription profiling	1	Mus musculus	Dissection Condition;Preservation Method;Order of Preservation
OSD-275	1	14-Feb-2018	2018	Agilent	DNA microarray	DNA methylation profiling	1	Rattus norvegicus	Ionizing Radiation
OSD-276	1	19-Apr-2017	2017	Illumina	nucleotide sequencing	metagenome profiling	1	cellular organisms	Spaceflight;Sample Location
OSD-277	1	17-May-2022	2022	Illumina NexSeq	RNA Sequencing (RNA-Seq)	transcription profiling	2	Not Applicable;Salmonella enterica subsp. enterica serovar Typhimurium	Genotype;Microgravity Simulation;Infection;Time
OSD-278	1	28-Sep-2019	2019	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Drosophila melanogaster	Spaceflight;Infection
OSD-279	1	05-Sep-2019	2019	Illumina	nucleotide sequencing	metagenome profiling	1	cellular organisms	Spaceflight;Sample Location
OSD-280	1	09-Mar-2020	2020	Illumina	nucleotide sequencing	metagenome profiling	1	cellular organisms	Spaceflight;Time
OSD-281	1	01-Mar-2020	2020	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Arabidopsis thaliana	Spaceflight;Age;Genotype
OSD-282	1	20-Jan-2010	2010	Affymetrix	DNA microarray	transcription profiling	1	Arabidopsis thaliana	Treatment
OSD-283	1	16-Oct-2018	2018	Nimblegen	DNA microarray	transcription profiling	1	Homo sapiens	Altered Gravity
OSD-284	1	03-Mar-2016	2016	Affymetrix	DNA microarray	transcription profiling	1	Oryza sativa	Spaceflight;Altered Gravity
OSD-285	1	20-Dec-2013	2013	Illumina	DNA microarray	transcription profiling	1	Homo sapiens	Ionizing Radiation;Time;Absorbed Radiation Dose
OSD-286	1	02-Apr-2018	2018	Illumina Hiseq 2500	nucleotide sequencing	metagenome profiling	1	cellular organisms	Spaceflight;Treatment;Sample Location
OSD-287	1	09-May-2018	2018	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Mus musculus	Treatment;Sex
OSD-288	1	18-Jun-2019	2019	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Mus musculus	Spaceflight;Altered Gravity
OSD-289	1	04-Jan-2020	2020	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Mus musculus	Spaceflight;Altered Gravity;Space Mission
OSD-290	1	06-Apr-2020	2020	Illumina NovaSeq 6000	nucleotide sequencing	genome sequencing	4	Naganishia adeliensis;Naganishia albida;Naganishia sp.;Papiliotrema laurentii	Spaceflight;Strain
OSD-291	1	01-Apr-2020	2020	Illumina HiSeq 2500	nucleotide sequencing	genome sequencing	1	Rubinsicoccus jepli	Strain
OSD-293	1	15-May-2020	2020	Illumina NovaSeq 6000	nucleotide sequencing	genome sequencing	1	Rhodotorula mucilaginosa	Spaceflight;Strain
OSD-294	1	03-Mar-2020	2020	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Mus musculus	Ionizing Radiation;Time
OSD-295	1	15-May-2018	2018	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Mus musculus	Hindlimb Unloading;Age
OSD-296	1	30-Nov-2009	2009	Affymetrix	DNA microarray	transcription profiling	1	Arabidopsis thaliana	Genotype;Treatment;Light;Time
OSD-297	1	16-Oct-2018	2018	Nimblegen	DNA microarray	transcription profiling	1	Homo sapiens	Altered Gravity;Treatment
OSD-298	1	09-May-2020	2020	Illumina NovaSeq 6000	nucleotide sequencing	genome sequencing	2	Sphingobacterium paucimobilis;Sphingomonas sanguinis	Strain;Spaceflight
OSD-299	1	20-Jul-2020	2020	Illumina	nucleotide sequencing	metagenome profiling	1	Sphingomonas sanguinis	Spaceflight
OSD-300	1	01-Jan-2021	2021	Illumina NovaSeq 6000	nucleotide sequencing	genome sequencing	2	Methylobacterium sp.;Methylorubrum rhodesianum	Spaceflight;Strain
OSD-301	1	30-Apr-2020	2020	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Eruca vesicaria	Spaceflight;Treatment
OSD-302	1	31-May-2020	2020	Illumina NovaSeq 6000	nucleotide sequencing	genome sequencing	3	Enterobacter bugandensis;Klebsiella quasipneumoniae;Pantoea brenneri	Spaceflight;Strain
OSD-303	1	15-Jun-2020	2020	Illumina NovaSeq 6000	nucleotide sequencing	genome sequencing	5	Bacillus amyloliquefaciens;Bacillus cereus thuringiensis;Bacillus firmus;Paenibacillus polymyxa;Thermus amyloliquefaciens	Spaceflight;Strain
OSD-304	1	28-Aug-2020	2020	Agilent	DNA microarray	transcription profiling	1	Mus musculus	Ionizing Radiation;Absorbed Radiation Dose;Genotype
OSD-305	1	27-Aug-2020	2020	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Serratia liquefaciens	Temperature;Atmospheric Pressure;Atmospheric Composition
OSD-306	1	15-Sep-2022	2022	Illumina NovaSeq 6000	nucleotide sequencing	genome sequencing	1	Agrobacterium genomosp. 3	Spaceflight;Strain
OSD-307	1	11-Aug-2021	2021	MinION	RNA Sequencing (RNA-Seq)	transcription profiling	1	Microbiota	Relative Humidity;CO2 Concentration;Temperature
OSD-308	1	07-Aug-2020	2020	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Mus musculus	Microgravity Simulation
OSD-309	1	12-Aug-2020	2020	Illumina NovaSeq 6000	nucleotide sequencing	genome sequencing	3	Klebsiella aerogenes;Klebsiella pneumoniae;Klebsiella quasipneumoniae	Spaceflight;Strain
OSD-310	1	27-Mar-2023	2023	OsteoMeasure System (OsteoMetrics)	Histomorphometry	Histological Assay	1	Rattus norvegicus	Spaceflight
OSD-311	1	31-Jul-2020	2020	Illumina NovaSeq 6000	nucleotide sequencing	genome sequencing	4	Enterobacter bugandensis;Kalamiella piersonii;Pantoea agglomerans;Pantoea brenneri	Spaceflight;Strain
OSD-313	1	22-Oct-2020	2020	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Arabidopsis thaliana	Genotype;Light
OSD-314	1	20-Jan-2021	2021	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Arabidopsis thaliana	Spaceflight;Altered Gravity;Light
OSD-315	1	26-Jul-2017	2017	LTQ Orbitrap Elite	mass spectrometry	protein expression profiling	1	Homo sapiens	Microgravity Simulation;Tiime
OSD-316	1	26-May-2020	2020	Illumina MiSeq	RNA Sequencing (RNA-Seq)	transcription profiling	1	Homo sapiens	Spaceflight;Study Subject;Time
OSD-317	1	19-Dec-2017	2017	Illumina Infinium 450K Human Methylation Beadchip	microarray	DNA methylation profiling	1	Homo sapiens	Ionizing Radiation;Dose;Time
OSD-318	1	01-Dec-2019	2019	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Mus musculus	Ionizing Radiation;Diet
OSD-319	1	18-Jul-2018	2018	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Urocitellus parryii	Time
OSD-320	1	18-Sep-2014	2014	Affymetrix	DNA microarray	transcription profiling	1	Arabidopsis thaliana	Genotype;Time of sample collection after treatment;Ionizing Radiation
OSD-321	1	09-Jan-2021	2021		RNA Sequencing (RNA-Seq)	transcription profiling	1	Arabidopsis thaliana	Spaceflight;Genotype
OSD-322	1	27-Aug-2020	2020	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Mus musculus	Ionizing Radiation;Time
OSD-323	1	23-Feb-2021	2021	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Homo sapiens	Spaceflight;Infection
OSD-324	1	23-Apr-2021	2021	Affymetrix	DNA microarray	transcription profiling	1	Mus musculus	Spaceflight;Time
OSD-326	1	23-Feb-2020	2020	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Mus musculus	Spaceflight
OSD-329	1	30-Oct-2006	2006		DNA microarray	transcription profiling	1	Arabidopsis thaliana	Genotype;Organism Part;Ionizing Radiation;Time of Sample Collection After Treatment
OSD-331	1	22-Sep-2021	2021	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Homo sapiens	Microgravity Simulation
OSD-334	1	10-Dec-2020	2020	Illumina	miRNA Sequencing	transcription profiling	1	Mus musculus	Hindlimb Unloading;Ionizing Radiation;Particle Charge
OSD-335	1	10-Dec-2020	2020	Illumina	miRNA Sequencing	transcription profiling	1	Mus musculus	Hindlimb Unloading;Ionizing Radiation;Particle Charge
OSD-336	1	10-Dec-2020	2020	Illumina	miRNA Sequencing	transcription profiling	1	Mus musculus	Hindlimb Unloading;Ionizing Radiation;Particle Charge
OSD-337	1	10-Dec-2020	2020	Illumina	miRNA Sequencing	transcription profiling	1	Mus musculus	Hindlimb Unloading;Ionizing Radiation;Particle Charge
OSD-340	1	01-Sep-2018	2018	Illumina	nucleotide sequencing	genome sequencing	1	Mus musculus	Genotype;Ionizing Radiation
OSD-342	1	16-Sep-2020	2020	SomaScan	protein microarray	protein expression profiling	1	Mus musculus	Spaceflight;Treatment;Dissection Timeline
OSD-343	1	02-Dec-2020	2020	Xevo QTof MS(Waters)	mass spectrometry	metabolite profiling	1	Mus musculus	Spaceflight
OSD-344	2	26-Jul-2018	2018	BioRad	real time PCR	transcription profiling	1	Homo sapiens	Spaceflight;Developmental Stage
OSD-344	2	26-Jul-2018	2018	BioRad	real time PCR	transcription profiling	1	Homo sapiens	Spaceflight;Developmental Stage
OSD-345	1	12-Nov-2018	2018	Q Exactive Plus	mass spectrometry	protein expression profiling	1	Mus musculus	Spaceflight;Time
OSD-346	1	24-Nov-2020	2020	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Arabidopsis thaliana	Genotype;Spaceflight;Altered Gravity;Treatment
OSD-347	1	02-Dec-2020	2020	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Drosophila melanogaster	Spaceflight;Genotype
OSD-350	1	23-Mar-2021	2021	Illumina	nucleotide sequencing	genome sequencing	7	Aspergillus niger;Aspergillus unguis;Penicillium camemberti;Penicillium chrysogenum;Penicillium dipodomyicola;Penicillium griseoroseum;Penicillium polonicum	Spaceflight;Strain
OSD-351	1	20-Jan-2023	2023	Scanco mCT40 scanner	Micro-Computed Tomography	Bone Microstructure	1	Rattus norvegicus	Spaceflight;Tissue
OSD-352	2	14-Jan-2021	2021	Illumina	spatial transcriptomics	transcription profiling	1	Mus musculus	Spaceflight
OSD-352	2	14-Jan-2021	2021	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Mus musculus	Spaceflight
OSD-353	1	07-Apr-2019	2019	MaXis 4G	mass spectrometry	protein expression profiling	1	Homo sapiens	Spaceflight;Bed Rest;Time;Dry Immersion
OSD-354	1	13-Aug-2020	2020	Affymetrix	microarray	transcription profiling	1	Homo sapiens	Hindlimb Unloading;Age
